,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
2417,Kepler-141 c,1.41246,2.5712285,1.3492184,859.87103
2418,Kepler-1410 b,1.78239,3.813936,1.4628013,292.95272
2421,Kepler-1413 b,1.81602,3.97285,1.479077,703.62639
2422,Kepler-1414 b,1.2331,2.0404558,1.2863657,1067.2494
2423,Kepler-1415 b,1.28915,2.2120829,1.3099327,2020.8751
2426,Kepler-1418 b,1.65908,3.4007596,1.4317075,557.6158
2431,Kepler-1420 b,1.27794,2.1834784,1.3071313,971.87287
2434,Kepler-1423 b,1.06495,1.1982116,1.0607234,535.57356
2443,Kepler-1430 b,1.17705,1.7575889,1.2219718,1031.6537
2461,Kepler-1446 b,0.81833,0.476742,0.76326873,1665.7551
2467,Kepler-1450 b,1.71513,3.5596736,1.4406436,377.37632
2472,Kepler-1455 b,2.16353,5.3077276,1.5662924,321.81221
2473,Kepler-1456 b,1.14342,1.5541789,1.1658633,492.94391
2476,Kepler-1459 b,1.35641,2.4186711,1.3353433,400.3172
2479,Kepler-1460 b,1.96175,4.5131576,1.5167654,440.57409
2480,Kepler-1461 b,2.02901,4.76742,1.5328498,479.27928
2485,Kepler-1465 b,1.77118,3.7821532,1.461296,448.93329
2494,Kepler-1470 b,1.06495,1.2395292,1.0788567,638.61884
2501,Kepler-1477 b,1.17705,1.7575889,1.2219718,851.5527
2504,Kepler-148 b,1.80481,3.9092844,1.4717461,1379.2459
2507,Kepler-1480 b,1.67029,3.4325424,1.4335473,568.96532
2508,Kepler-1481 b,1.2331,2.0404558,1.2863657,844.87939
2523,Kepler-1492 b,1.49093,2.8254909,1.3766335,524.73622
2529,Kepler-1498 b,1.33399,2.3296793,1.321514,520.09441
2530,Kepler-1499 b,1.18826,1.8116196,1.2347464,470.06136
2540,Kepler-1503 b,2.27563,5.7844697,1.59434,431.26325
2551,Kepler-1512 b,1.17705,1.7575889,1.2219718,327.4292
2561,Kepler-152 c,2.38773,6.2929945,1.6234393,368.97396
2563,Kepler-1521 b,2.49983,6.8015193,1.6494826,430.78215
2568,Kepler-1526 b,2.43257,6.4836913,1.6325951,936.76915
2571,Kepler-1529 b,2.09627,5.0534652,1.5526409,930.87436
2583,Kepler-1537 b,1.17705,1.7575889,1.2219718,1440.9127
2591,Kepler-1540 b,2.48862,6.7697365,1.6493263,270.06295
2592,Kepler-1541 b,1.15463,1.6558839,1.1975496,848.48702
2598,Kepler-1544 b,1.78239,3.813936,1.4628013,275.69635
2608,Kepler-1552 b,2.4662,6.6743881,1.6450973,329.62684
2609,Kepler-1553 b,1.15463,1.6050314,1.1790178,1079.9364
2614,Kepler-1558 b,0.68381,0.24472756,0.59823762,1066.2615
2616,Kepler-156 b,2.29805,5.9116009,1.6038835,961.11165
2623,Kepler-1565 b,1.18826,1.8116196,1.2347464,1339.5601
2624,Kepler-1566 b,0.7847,0.41635468,0.72841671,2033.8927
2638,Kepler-1577 b,1.13221,1.5065047,1.153511,791.47652
2640,Kepler-1579 b,0.84075,0.52123792,0.78738034,1415.4897
2641,Kepler-158 b,2.11869,5.1488136,1.5589058,558.54637
2642,Kepler-158 c,1.9057,4.2588952,1.4949312,468.15771
