,P_NAME,P_RADIUS,P_DENSITY,P_ESCAPE,P_TEMP_SURF
2217,Kepler-1263 b,1.14342,1.0396416,1.1658633,1014.8934
2218,Kepler-1264 b,1.17705,1.077786,1.2219718,2016.9914
2219,Kepler-1265 b,1.3452,0.98185966,1.332943,777.31135
2221,Kepler-1266 c,1.6815,0.72866521,1.4353602,929.97023
2223,Kepler-1268 b,2.02901,0.5707302,1.5328498,718.8838
2224,Kepler-1269 b,1.62545,0.76967016,1.4260211,833.52091
2225,Kepler-127 b,1.40125,0.92413467,1.3470486,1013.6271
2229,Kepler-1271 b,1.47972,0.86226826,1.3740443,1596.3664
2230,Kepler-1272 b,2.36531,0.46834141,1.6187111,684.52149
2231,Kepler-1273 b,2.48862,0.43923405,1.6493263,560.16345
2232,Kepler-1274 b,1.42367,0.90208623,1.3521764,1604.3651
2233,Kepler-1275 b,1.47972,0.86226826,1.3740443,1561.3879
2234,Kepler-1276 b,1.18826,1.0797733,1.2347464,997.4091
2235,Kepler-1277 b,1.60303,0.77155556,1.4080733,542.48499
2236,Kepler-1278 b,1.0089,0.98108594,0.99931326,1735.2566
2237,Kepler-1279 b,1.74876,0.69532426,1.4582229,1061.0299
2238,Kepler-128 b,1.43488,0.26035191,0.73214309,1141.8044
2239,Kepler-128 c,1.3452,0.36950304,0.81770352,994.70728
2240,Kepler-1280 b,1.87207,0.63459581,1.4913195,689.96796
2241,Kepler-1281 b,1.63666,0.76121274,1.427945,1193.8415
2242,Kepler-1282 b,1.54698,0.81642929,1.3977966,1414.8106
2243,Kepler-1283 b,1.9057,0.62455036,1.5060461,1505.4227
2244,Kepler-1284 b,1.21068,1.0853672,1.261298,1916.6936
2245,Kepler-1285 b,0.97527,0.93878928,0.94495021,1065.7641
2246,Kepler-1286 b,2.15232,0.52915112,1.5656573,983.86133
2247,Kepler-1287 b,1.53577,0.82478636,1.3947518,873.96856
2248,Kepler-1288 b,1.121,1.0355904,1.140774,1641.4441
2249,Kepler-1289 b,1.52456,0.82517568,1.3848978,1125.9935
2253,Kepler-1290 b,1.42367,0.90208623,1.3521764,1268.5077
2254,Kepler-1291 b,1.65908,0.7446873,1.4317075,787.86533
2255,Kepler-1292 b,1.81602,0.66334626,1.479077,1297.2356
2256,Kepler-1293 b,0.97527,0.93878928,0.94495021,1586.8213
