,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF,S_TEMPERATURE,S_RADIUS,S_MASS,S_LUMINOSITY
1825,KOI-1599.02,1.9057,9.000889,2.1732788,942.5206,5833.0,0.97,1.02,1.4521116
1828,KOI-1831 d,1.13221,2.2311526,1.4037868,545.8393,5233.0,0.84,0.9,0.49203954
1833,KOI-351 b,1.31157,2.2692919,1.3153746,1234.8234,6080.0,1.2,1.2,1.8578045
1834,KOI-351 c,1.18826,1.8116196,1.2347464,1125.9671,6080.0,1.2,1.2,1.8578045
1842,KOI-55 b,0.76228,0.4449592,0.76401667,8126.342,27730.0,0.2,0.5,22.908677
1843,KOI-55 c,0.86317,0.66743881,0.87934147,7220.4443,27730.0,0.2,0.5,22.908677
1844,KOI-7368 b,2.21958,5.5619901,1.5829956,921.20412,5241.0,0.87,0.88,0.4830588
1845,KOI-7913 b,2.34289,6.0705149,1.6096699,484.60739,4324.0,0.79,0.76,0.17060824
1846,KOI-94 b,1.71513,10.488324,2.4728885,1668.7939,6182.0,1.52,1.28,3.013006
1853,Kapteyn c,2.54467,6.9922161,1.6576456,183.18249,3550.0,0.29,0.28,0.016106456
1854,Kepler-10 b,1.47972,4.608506,1.7647789,2263.9074,5627.0,1.06,0.91,1.1350108
1855,Kepler-10 c,2.32047,7.3704314,1.7822083,604.91623,5706.0,1.09,1.02,1.1350108
1856,Kepler-100 b,1.32278,7.3100441,2.3508027,1357.0431,5825.0,1.49,1.08,2.5763212
1861,Kepler-1001 c,1.58061,3.1147144,1.4037726,845.43666,5376.0,0.84,0.93,0.52601727
1862,Kepler-1002 b,1.71513,3.5596736,1.4406436,1616.5203,6144.0,1.57,1.22,3.1695675
1863,Kepler-1003 b,1.78239,3.813936,1.4628013,1606.1246,6109.0,1.17,1.11,1.9142559
1865,Kepler-1005 b,1.50214,2.8572737,1.3791793,1202.9779,5782.0,1.06,1.0,1.3677288
1866,Kepler-1006 b,1.53577,2.9875832,1.3947518,597.31054,5328.0,0.74,0.78,0.39810717
1867,Kepler-1007 b,1.43488,2.6665769,1.3632304,947.00027,4587.0,0.7,0.73,0.27039584
