P_NAME,P_RADIUS in MU,P_DENSITY in MU,P_ESCAPE in MU
HD 93351 b,3.214943396226415,1.007120338028169,3.2018911111111112
HD 93385 b,3.553358490566038,0.8853030140845071,3.3180086666666666
HD 93385 c,4.843566037735848,0.5911445492957746,3.6957671111111114
HD 93385 d,5.456943396226415,0.5064454225352113,3.8539697777777775
HD 93963 A b,2.5381132075471697,4.5128177464788735,5.350907111111111
HD 96700 b,5.520396226415094,0.500441690140845,3.8756051111111107
HD 96700 c,3.193792452830188,1.0161865633802818,3.1951108888888884
HD 97658 b,3.997528301886792,1.228961929577465,4.397980444444444
HIP 116454 b,4.653207547169812,1.1937377183098592,5.045444222222222
HIP 38594 b,5.224283018867925,0.5375216338028169,3.801169111111111
HIP 54373 b,5.414641509433962,0.5136730281690141,3.8512846666666665
HIP 57274 b,4.526301886792453,0.6484935211267606,3.6173362222222223
HIP 97166 c,5.879962264150943,0.4607237887323944,3.960840888888889
HR 858 b,3.934075471698113,0.7753142816901409,3.437748666666667
HR 858 c,3.6591132075471697,0.8530872676056339,3.3540157777777777
HR 858 d,4.082132075471698,0.7425989295774648,3.491055333333333
K2-101 b,3.7648679245283017,0.8282745070422535,3.400395333333333
K2-102 b,2.453509433962264,1.4352650704225354,2.9170664444444445
K2-104 b,3.3841509433962265,0.938733661971831,3.2539693333333335
K2-111 b,3.426452830188679,1.2437275211267607,3.792275777777778
K2-116 b,1.3113584905660376,1.0800078591549296,1.3524693333333333
K2-117 b,3.828320754716981,0.803845352112676,3.4063328888888886
K2-117 c,3.89177358490566,0.7855687887323943,3.423199555555555
K2-12 b,4.399396226415094,0.6709351830985916,3.576233777777778
K2-120 b,3.786018867924528,0.8200108309859157,3.402398
K2-122 b,2.1785471698113206,1.5151060563380283,2.6612213333333337
K2-125 b,4.103283018867924,0.739879,3.502711333333333
K2-126 b,3.722566037735849,0.8335180422535211,3.3728144444444443
K2-128 b,2.6861698113207546,1.270543985915493,3.0048364444444444
K2-129 b,1.9670377358490565,1.3906274084507042,2.302028
K2-13 b,3.574509433962264,0.8756055352112676,3.3194277777777774
K2-130 b,2.3689056603773584,1.4928178873239437,2.872392
K2-131 b,2.8342264150943395,2.6176177464788735,4.550720666666666
K2-133 b,2.5381132075471697,1.364511295774648,2.9423348888888885
K2-133 c,3.0245849056603773,1.0975649436619719,3.1446579999999997
K2-133 d,3.786018867924528,0.8144702253521128,3.390883777777778
K2-133 e,3.2572452830188676,1.0005819014084507,3.2334735555555554
K2-136 b,1.8612830188679246,1.3755961971830986,2.1664587777777777
K2-136 d,2.7284716981132076,1.2567691971830988,3.0355664444444446
K2-138 b,2.855377358490566,1.2592741267605636,3.1799199999999996
K2-138 c,4.335943396226415,0.7321766901408452,3.6820024444444446
K2-138 d,4.505150943396226,0.8194570563380281,4.047296
K2-138 f,5.478094339622641,0.09382855774647889,1.6652888
K2-141 b,2.855377358490566,2.0639180281690144,4.071010888888889
K2-146 b,3.8706226415094336,0.9416283943661972,3.727461333333333
K2-146 c,4.124433962264151,1.010547971830986,4.114673333333333
K2-147 b,1.374811320754717,1.1455448450704224,1.4602986222222223
K2-148 b,2.5169622641509433,1.3822291830985918,2.936697777777778
K2-148 c,3.2572452830188676,1.0005819014084507,3.2334735555555554
K2-148 d,3.0880377358490563,1.07213061971831,3.173211111111111
K2-149 b,3.0880377358490563,1.07213061971831,3.173211111111111
K2-15 b,4.674358490566037,0.6211873521126761,3.6561655555555554
K2-150 b,3.7648679245283017,0.8282745070422535,3.400395333333333
K2-151 b,2.8130754716981135,1.200781,3.0591855555555556
K2-152 b,4.314792452830189,0.6887225211267606,3.5536495555555554
K2-153 b,3.7648679245283017,0.8282745070422535,3.400395333333333
K2-154 b,3.7648679245283017,0.8170054647887325,3.377184222222222
K2-154 c,3.912924528301887,0.7779173943661973,3.425001333333333
K2-155 b,3.4053018867924525,0.9365790704225353,3.270546888888889
K2-155 d,3.5956603773584903,0.8667123802816902,3.322069333333333
K2-156 b,2.072792452830188,1.451801408450704,2.4785744444444444
K2-157 b,1.8824339622641508,1.3793306056338028,2.1940497333333333
K2-158 c,2.4112075471698113,1.4735305633802818,2.904736222222222
K2-159 b,4.272490566037735,0.6939614788732394,3.5321677777777776
K2-16 b,3.807169811320754,0.8118685492957747,3.404376888888889
K2-162 b,2.707320754716981,1.2713028450704227,3.0294008888888886
K2-163 b,4.653207547169812,0.6237279577464789,3.647057111111111
K2-165 b,2.4112075471698113,1.4628061971830986,2.8941466666666664
K2-165 c,2.9399811320754714,1.1299934788732395,3.101523333333333
K2-166 b,4.124433962264151,0.7328401267605634,3.503979111111111
K2-167 b,4.272490566037735,0.6978168169014084,3.5419657777777775
K2-168 b,3.511056603773585,0.9031004507042254,3.311298888888889
K2-169 b,2.4112075471698113,1.460661267605634,2.8920239999999997
K2-17 b,4.209037735849056,0.7096928169014085,3.5189293333333334
K2-170 b,2.6861698113207546,1.2674413239436622,3.0011653333333332
K2-170 c,3.4053018867924525,0.9365790704225353,3.270546888888889
K2-172 b,3.1514905660377357,1.0278788732394368,3.1708777777777777
K2-173 b,3.0245849056603773,1.0975649436619719,3.1446579999999997
K2-175 b,3.8494716981132076,0.7959389436619718,3.408266444444444
K2-176 b,2.8130754716981135,1.202131704225352,3.0609055555555553
K2-177 b,3.997528301886792,0.7578049436619718,3.453526444444444
K2-18 b,4.4628490566037735,0.9495372676056337,4.315794222222222
K2-18 c,4.991622641509434,0.5712742957746479,3.7441791111111113
K2-183 b,2.072792452830188,1.451801408450704,2.4785744444444444
K2-183 c,4.335943396226415,0.6860698450704226,3.5641855555555555
K2-183 d,4.335943396226415,0.6860698450704226,3.5641855555555555
K2-184 b,2.77077358490566,1.2283520563380281,3.047579111111111
K2-185 b,2.1785471698113206,1.4685767605633804,2.6200395555555556
K2-185 c,4.505150943396226,0.6510934788732394,3.607642888888889
K2-187 b,2.2631509433962265,1.5252567605633802,2.7738153333333333
K2-187 c,2.643867924528302,1.3015981267605634,2.993441333333333
K2-187 d,4.526301886792453,0.6484935211267606,3.6173362222222223
K2-187 e,3.5956603773584903,0.8667123802816902,3.322069333333333
K2-188 b,2.5381132075471697,1.3829009295774648,2.9620955555555555
K2-189 b,2.876528301886792,1.1622192676056338,3.0775506666666668
K2-189 c,4.71666037735849,0.6132197746478874,3.665516888888889
K2-190 b,2.5592641509433958,1.3596591971830987,2.9615746666666665
K2-190 c,2.072792452830188,1.4214147887323945,2.4524986666666666
K2-191 b,2.9822830188679244,1.1120610704225353,3.121085777777778
K2-192 b,2.876528301886792,1.1622192676056338,3.0775506666666668
K2-198 c,2.6861698113207546,1.275198,3.010334888888889
K2-198 d,4.610905660377358,0.6287838028169015,3.628519333333333
K2-199 b,3.2572452830188676,1.888924647887324,4.442734
K2-200 b,2.5804150943396227,1.3404982394366196,2.9649353333333335
K2-201 b,2.643867924528302,1.3015981267605634,2.993441333333333
K2-202 b,4.335943396226415,0.6860698450704226,3.5641855555555555
K2-203 b,2.5804150943396227,1.3509982253521127,2.9765246666666663
K2-205 b,3.7648679245283017,0.822639985915493,3.3888097777777775
K2-208 b,3.172641509433962,1.026289028169014,3.1896893333333334
K2-209 b,1.6286226415094338,1.2807448450704226,1.8291288888888888
K2-21 b,3.468754716981132,0.9149326901408451,3.292764666666667
K2-21 c,4.695509433962264,0.6186395070422536,3.6651695555555555
K2-210 b,1.6286226415094338,1.2389814225352114,1.7990589555555554
K2-211 b,2.453509433962264,1.4352650704225354,2.9170664444444445
K2-213 b,2.855377358490566,1.1791971971830986,3.077154222222222
K2-214 b,4.589754716981132,0.6344069577464789,3.6279891111111113
K2-215 b,3.997528301886792,0.7625118028169015,3.464235111111111
K2-216 b,3.2995471698113206,2.1068149295774647,4.752915111111111
K2-219 b,2.5381132075471697,1.3792230140845072,2.958154
K2-219 c,2.707320754716981,1.268272323943662,3.025788
K2-220 b,4.505150943396226,0.6510934788732394,3.607642888888889
K2-221 b,3.172641509433962,1.026289028169014,3.1896893333333334
K2-222 b,4.505150943396226,0.6510934788732394,3.607642888888889
K2-223 b,1.6709245283018868,1.2954830985915493,1.8874056000000001
K2-223 c,2.8342264150943395,1.1873049154929578,3.0648428888888892
K2-224 b,2.9399811320754714,1.1370929154929579,3.111251111111111
K2-224 c,4.5474528301886785,0.6426842394366197,3.6179248888888886
K2-226 b,2.897679245283019,1.161670929577465,3.0994484444444446
K2-227 b,3.1514905660377357,1.0278788732394368,3.1708777777777777
K2-228 b,2.2843018867924525,1.5286861971830987,2.8028844444444445
K2-229 b,1.8824339622641508,3.5294636619718314,3.5096728888888884
K2-230 b,3.7014150943396227,0.8419594366197183,3.3705897777777776
K2-231 b,4.71666037735849,0.6132197746478874,3.665516888888889
K2-239 b,2.072792452830188,1.451801408450704,2.4785744444444444
K2-239 c,1.8824339622641508,1.3793306056338028,2.1940497333333333
K2-239 d,2.072792452830188,1.451801408450704,2.4785744444444444
K2-240 b,3.7648679245283017,0.8282745070422535,3.400395333333333
K2-240 c,3.4053018867924525,0.9365790704225353,3.270546888888889
K2-243 b,4.103283018867924,0.7311745352112676,3.482046222222222
K2-243 c,3.786018867924528,0.8200108309859157,3.402398
K2-244 b,3.2995471698113206,0.9793299436619719,3.240495333333333
K2-247 b,3.997528301886792,0.7625118028169015,3.464235111111111
K2-247 c,4.124433962264151,0.7328401267605634,3.503979111111111
