,P.Name,PSI_P_RADIUS,PSI_P_DENSITY,PSI_P_ESCAPE,PSI_P_TEMP_SURF,PSI_Interior,PSI_Surface,PSI_Global
2358,Kepler-1368 b,0.852189,0.849935,0.872603,0.000187,0.851061253797281,0.01277406595411187,0.10426654586681008
2360,Kepler-137 b,0.88695,0.927095,0.887598,0.019688,0.9068003695687381,0.1321931519557651,0.34622651407415944
2361,Kepler-137 c,0.811805,0.757686,0.857179,0.056979,0.7842788300279436,0.22100045755834988,0.416324369079571
2362,Kepler-1370 b,0.81909,0.774532,0.859787,0.012871,0.7964994763840086,0.10519657065227934,0.28946331968305394
2363,Kepler-1370 c,0.931128,0.968789,0.905622,0.00291,0.9497718483888643,0.051335757713313244,0.2208104560291845
2364,Kepler-1371 b,0.907256,0.890265,0.850215,0.003548,0.8987203474051313,0.0549232448058197,0.22217254027557806
2365,Kepler-1371 c,0.867772,0.851624,0.790008,0.001538,0.8596600849917367,0.03485731349372754,0.17310528900239133
2366,Kepler-1372 b,0.931128,0.968789,0.905622,0.00063,0.9497718483888643,0.02388601808590122,0.15061961209648708
2367,Kepler-1373 b,0.958439,0.961015,0.93619,7.3e-05,0.9597261357204981,0.00826691417640222,0.08907285555572755
2368,Kepler-1374 b,0.753396,0.637765,0.832415,0.033912,0.6931735712936552,0.168014456163748,0.3412670224442826
2369,Kepler-1375 b,0.836163,0.814462,0.865925,0.000335,0.825241170389602,0.017031878199423575,0.11855550218874474
2370,Kepler-1376 b,0.985,0.993957,0.983601,0.006572,0.9894683648303264,0.0804004090288103,0.2820525859718828
2371,Kepler-1377 b,0.933763,0.968917,0.908854,0.000495,0.9511776094247594,0.02121043917508546,0.1420383568949143
2372,Kepler-1378 b,0.76537,0.662104,0.837335,0.104692,0.71186693874628,0.29607815829608236,0.45909503610458335
2373,Kepler-1379 b,0.923344,0.989914,0.903317,0.000879,0.9560497646127004,0.02817828318049203,0.16413360716775655
2375,Kepler-138 c,0.947253,0.929296,0.911876,0.211293,0.9382315406593407,0.43894534473895497,0.641741666918765
2376,Kepler-138 d,0.944512,0.506358,0.88623,0.376309,0.6915643189870339,0.5774914069230814,0.6319592166822356
2377,Kepler-1380 b,0.893912,0.938967,0.891901,0.004206,0.916162577768815,0.061248147776075644,0.2368823778800246
2378,Kepler-1381 b,0.757825,0.645534,0.834698,0.066966,0.6994296273035623,0.23642416599831753,0.40664734882912834
2379,Kepler-1382 b,0.811805,0.757686,0.857179,0.008441,0.7842788300279436,0.0850614362622687,0.2582864373370553
2380,Kepler-1383 b,0.898638,0.9511,0.893459,0.00579,0.9244969452626656,0.07192445766218887,0.2578641917722729
2381,Kepler-1384 b,0.802945,0.739695,0.853166,0.074799,0.7706713967541549,0.2526182171459533,0.4412319506262168
2382,Kepler-1385 b,0.953621,0.931184,0.920277,0.000699,0.9423357242851403,0.02536283941123312,0.15459724980255005
2383,Kepler-1386 b,0.936418,0.961892,0.909708,0.007125,0.9490695353112963,0.08050881628741041,0.27642081119618167
2384,Kepler-1387 b,0.979296,0.961941,0.962017,0.005327,0.9705797100372541,0.07158676245647655,0.2635918419593307
2386,Kepler-1388 c,0.756341,0.641243,0.834589,0.059258,0.6964182449239825,0.2223872185221084,0.39354099712316243
2388,Kepler-1388 e,0.732272,0.597147,0.823163,0.552334,0.6612669869152701,0.6742854828943005,0.6677445092205715
2389,Kepler-1389 b,0.830363,0.798155,0.864781,0.61654,0.8140997360673936,0.7301863308361777,0.7710022692662784
2392,Kepler-1390 b,0.952801,0.959996,0.928975,0.008856,0.9563917339646971,0.09070282575532032,0.29452917138991275
2393,Kepler-1391 b,0.846081,0.833022,0.871218,0.048124,0.8395261084576227,0.20475960302755034,0.41460949422202936
2394,Kepler-1392 b,0.799474,0.733236,0.851395,0.041562,0.7656390258235274,0.18811081571775717,0.37950623406343764
2395,Kepler-1393 b,0.93355,0.9219,0.89272,0.000969,0.9277067128139151,0.02941165891275091,0.16518290894748233
2396,Kepler-1394 b,0.903433,0.964008,0.894854,0.000517,0.9332291462786618,0.021509056650629754,0.14167878661015762
2397,Kepler-1395 b,0.93355,0.9219,0.89272,0.001699,0.9277067128139151,0.03894523436827669,0.19007828743852223
2398,Kepler-1396 b,0.782723,0.69486,0.845644,0.021013,0.737484171884387,0.13330235321253708,0.31354166480579254
2399,Kepler-1397 b,0.840091,0.821001,0.8683,0.029871,0.8304911505193779,0.1610496485559655,0.3657188919374897
2400,Kepler-1398 b,0.968615,0.958594,0.947812,0.000893,0.9635914732447564,0.029092887721915817,0.16743254922775663
2401,Kepler-1398 c,0.991182,0.991984,0.991815,0.001666,0.9915829189170213,0.040649277853364134,0.20076635571157794
2402,Kepler-1399 b,0.933763,0.968917,0.908854,0.000886,0.9511776094247594,0.028376832874723704,0.16429062072079956
2404,Kepler-140 b,0.858421,0.856968,0.877581,0.001464,0.857694192313321,0.03584380816821784,0.17533689314081397
2405,Kepler-140 c,0.824674,0.786314,0.86222,0.154805,0.8052656155803499,0.3653436287934963,0.5424008316169452
2406,Kepler-1400 b,0.85633,0.8513,0.877054,0.038847,0.8538112958962303,0.1845830889816291,0.39698756454570955
2407,Kepler-1401 b,0.846081,0.833022,0.871218,0.011275,0.8395261084576227,0.09911096281441323,0.2884549200777697
2408,Kepler-1402 b,0.920724,0.89327,0.867454,0.000379,0.9068931180023366,0.018131879825324233,0.1282329015113982
2409,Kepler-1403 b,0.773125,0.676156,0.841243,0.002408,0.7230166716611727,0.04500792312471216,0.1803925685165864
2410,Kepler-1404 b,0.792656,0.720317,0.848022,0.052794,0.7556213284125852,0.21159034351311973,0.39985269343179214
2412,Kepler-1406 b,0.972948,0.983791,0.961506,0.011723,0.9783544786364501,0.10616842674731505,0.32228924244849
2413,Kepler-1407 b,0.757825,0.645534,0.834698,0.020531,0.6994296273035623,0.13090907011357159,0.3025916094675979
