,P.Name,PSI_P_RADIUS,PSI_P_MASS,PSI_P_ESCAPE,PSI_P_TEMP_SURF,PSI_Interior,PSI_Surface,PSI_Global
1661,K2-407 b,0.731196,0.425148,0.895924,0.149134,0.5575540485083038,0.3655307508486803,0.4514456224064664
1662,K2-407 c,0.756266,0.456711,0.901149,0.208708,0.5877031573217895,0.4336784586441895,0.5048506704042665
1663,K2-408 b,0.848824,0.586076,0.92073,0.367979,0.7053193423010602,0.5820732811854535,0.6407398410093945
1664,K2-409 b,0.980475,0.86888,0.957195,0.064382,0.9229924799260284,0.24824610468243,0.478674511325611
1665,K2-411 b,0.626507,0.217236,0.814588,0.097253,0.3689171650275981,0.2814624784300742,0.3222364653543488
1666,K2-412 b,0.950562,0.747741,0.942058,0.150356,0.8430742437306457,0.37635631075883397,0.5632906106675841
1667,K2-413 b,0.530652,0.095735,0.719492,0.08042,0.22539292184982207,0.2405442716840291,0.23284539125587334
1668,K2-413 c,0.716324,0.403892,0.891383,0.235098,0.5378824527794153,0.4577798166520669,0.4962174227228673
1669,K2-414 b,0.712542,0.39349,0.887881,0.232642,0.5295074613072038,0.45448697627324813,0.49056523012096465
1670,K2-414 c,0.908948,0.681599,0.93405,0.25621,0.7871073928327696,0.48919622903289023,0.6205239466915847
1671,K2-42 b,0.957517,0.761154,0.944035,0.278302,0.8537083194030617,0.5125688525164205,0.6615015447148624
1673,K2-43 c,0.990561,0.851278,0.955111,0.234411,0.9182825202289326,0.47316860062878224,0.6591680021653019
1674,K2-44 b,0.988526,0.853511,0.95515,0.094151,0.9185411339651589,0.2998805222917954,0.5248357790775795
1676,K2-46 b,0.936313,0.725589,0.939561,0.191956,0.8242441466925925,0.4246814939645946,0.5916428277339146
1677,K2-47 b,0.90119,0.666168,0.93146,0.49274,0.7748186496981084,0.6774714757094944,0.7245119281407417
1678,K2-48 b,0.975536,0.792076,0.94789,0.467384,0.8790327938911039,0.6656039511300996,0.764910256688227
